Start Year,Country,Start Month,Disaster Subtype,COUNT
2006,Thailand,8,Riverine flood,1
2006,Timor-Leste,1,Storm (General),1
2006,Türkiye,7,Riverine flood,1
2006,Türkiye,10,Flash flood,1
2006,Viet Nam,4,Storm (General),1
2006,Viet Nam,5,Tropical cyclone,1
2006,Viet Nam,7,Flash flood,2
2006,Viet Nam,7,Tropical cyclone,1
2006,Viet Nam,8,Riverine flood,2
2006,Viet Nam,9,Tropical cyclone,1
2006,Viet Nam,10,Riverine flood,1
2006,Viet Nam,11,Hail,1
2006,Viet Nam,11,Tropical cyclone,1
2006,Yemen,2,Flash flood,1
2006,Yemen,4,Riverine flood,1
2007,Afghanistan,3,Riverine flood,1
2007,Afghanistan,4,Flash flood,2
2007,Afghanistan,5,Flash flood,1
2007,Afghanistan,5,Riverine flood,1
2007,Afghanistan,6,Riverine flood,1
2007,Afghanistan,7,Flash flood,1
2007,Bangladesh,1,Severe winter conditions,1
2007,Bangladesh,5,Tropical cyclone,1
2007,Bangladesh,6,Riverine flood,1
2007,Bangladesh,7,Riverine flood,1
2007,Bangladesh,11,Tropical cyclone,1
2007,Cambodia,8,Riverine flood,1
2007,China,4,Storm (General),1
2007,China,5,Flash flood,1
2007,China,6,Flash flood,1
2007,China,6,Ground movement,1
2007,China,6,Riverine flood,2
2007,China,7,Riverine flood,4
2007,China,7,Tornado,1
2007,China,8,Riverine flood,3
2007,China,8,Tornado,1
2007,China,8,Tropical cyclone,1
2007,China,9,Tropical cyclone,1
2007,China,10,Tropical cyclone,1
2007,China,11,Landslide (wet),1
2007,Cyprus,6,Heat wave,1
2007,Democratic People's Republic of Korea,8,Riverine flood,1
2007,Democratic People's Republic of Korea,9,Tropical cyclone,1
2007,India,2,Flood (General),1
2007,India,3,Cold wave,1
2007,India,4,Heat wave,1
2007,India,6,Flash flood,1
2007,India,6,Riverine flood,2
2007,India,7,Riverine flood,6
2007,India,8,Riverine flood,3
2007,India,9,Coastal flood,1
2007,India,9,Riverine flood,1
2007,India,10,Riverine flood,1
2007,India,11,Tropical cyclone,1
2007,India,12,Cold wave,1
2007,Indonesia,1,Landslide (wet),2
2007,Indonesia,1,Riverine flood,1
2007,Indonesia,3,Flash flood,1
2007,Indonesia,3,Ground movement,1
2007,Indonesia,5,Riverine flood,1
2007,Indonesia,7,Ash fall,1
2007,Indonesia,7,Riverine flood,3
2007,Indonesia,9,Flood (General),1
2007,Indonesia,9,Ground movement,2
2007,Indonesia,10,Ash fall,1
2007,Indonesia,11,Ground movement,1
2007,Indonesia,12,Riverine flood,1
